ID,Field 05 - ICT role in Museums and Exhibition Design,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type of Institution (as many as apply),Field of Activity (as many as apply),Focus of Institution (as many as apply),Year,Links,Principal Partner,Interested Partner,Links - for partners only,Field 05 - Exhibition / Installation Information,Name,Topic,Year,Name / contact of curator / organiser,Links,Field 05 - Information and Communication Technologies,Description,Focus of technology,Location of Technology Use,Time of Technology Use,Type of Media Exhibited,Actions and Mechanics of Interaction,Target Group,Why is it of interest for MeLA's Research Field 05?,Impact - User perspective,Impact - Institution / Organisation perspective,Field 05 - Categorization - User Experience,Audience Involvment,Audience Engagement,Audience Perception,Exhibition Elements,Technology Metaphor,Field 05 - Categorization - Intended purpose of the ICT and Technology within the project or application,Identity Construction,Representation,Conception of Cultural Representations,Audience of Cultural Representations,Multinationalism,Contemporaneousness,Provocativeness,Stance
1336839519500.31,,Sat May 12 2012 18:18:39 GMT+0200 (CEST),,British Museum,United Kingdom,London,Museum,Art|Archeology|Social History|Ethnography,"National, History and Art Museums",2010,http://www.britishmuseum.org/,CIID,CIID,,,Wikipedian in Residence,History,2010,Liam Wyatt,"http://www.nytimes.com/2010/06/05/arts/design/05wiki.html?pagewanted=all
http://sca.jiscinvolve.org/wp/2010/07/22/video-british-museums-wikipedian-in-residence-liam-wyatt-feature-length-version/",,"A pilot project aimed at building a mutually beneficial and proactive relationship between two communities that share a common heritage. Liam Wyatt took on the role on volunteer Wikipedian-in-Residence. He points out that both the British Museum and Wikipedia are important communities with the same aim: to share knowledge, and that there was already a relationship between the two, whether they knew it or not. His role was to find sustainable ways that the communities could work together for mutual benefit, without undermining the principles of policies of either. This involved running events such as a Backstage Pass tour of the stores for Wikipedians, and at event at which curators worked with Wikipedians to improve content.","Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",On Site - near objects and exhibits|Off Site - virtual visits,During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","This project challenges some of the ways in which the cultural sector has previously engaged with Web 2.0, using it as a marketing tool rather than a learning resource. By using a volunteer with an interest in both communities, the residency took account of the concerns of both communities and found productive ways for them to work together.","Wikipedians gained access to more information about the British Museum through contact with British Museum curators, improving the content on Wikipedia for the public. The Wikipedian in Residence aimed to make Wikipedia pages relating to British Museum collections more easily navigable for those seeking information, with clearer links in the references rather than just to the main British Museum website for example.","The British Museum\'s new digital stragey requires it to share its experience, knowledge and content beyond the walls of the museum and of its own website. Working with the Wikipedia community is a way to achieve this. They achieved greater organisational transparency and improved visibility of content. Museums can also crowdsource for improved metadata on their online collections.",,Individual interactions are networked in aggregate,5,Reflective (focused on engaging visitors cognitively),5,2,,"A plural representation, mindful to multiple (and dissenting) voices of individuals",8) None of the above,Not applicable,"Both, with respect to different parts of the museum/exhibition/project",Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Not Applicable,2
1336840047028.14,,Sat May 12 2012 18:27:27 GMT+0200 (CEST),,The Tech Museum of Innovation,United States of America,San Jose,Museum,Technology,Science and Technology,2007,http://www.thetech.org/,CIID,CIID,,,The Tech Virtual Test Zone,Science and Technology,2007,Undefined,"http://www.exhibitfiles.org/the_tech_virtual_test_zone
http://www.exhibitfiles.org/the_tech_virtual_test_zone_art_film__music
http://thetechopensource.thetech.org/requests/tech-virtual-test-zone-exhibits",,"In 2007, the Tech Museum launched a virtual exhibit design initiative and competition called The Tech Virtual. They called upon curators and artists to embrave a new open source creative process - developing virtual exhibits within Second Life. The Tech Virtual Test Zone is a physical manifestation of this initiative, which showcases these virtual exhibits brought to reality. ",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - in dedicated areas,During the vist - enhancing visitor experience,Audio|Image|Video|Augmented Reality,,,"Target Group: Creators

The TechZone is the world\'s first exhibition space to show exhibits originally developed in SecondLife.
","Experts in art, film, music and technology were brought together with museum professionals such as exhibit builders, craftspeople and curators, and have been able to make their ideas both a virtual and physical reality. ",The Tech has benefited from the creation of imaginative and educational exhibits. The museum community can also benefit from using the project as a model and a hands-on opportunity to experiment with new methods for creating content. ,,Individuals engage with each other socially,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),3,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Yes,Yes,1
1336840566179.31,,Sat May 12 2012 18:36:06 GMT+0200 (CEST),, Museum of National History,Netherlands,Amsterdam,Museum,National History,"National, History and Art Museums",2010,http://www.innl.nl/,CIID,CIID,,,The National Vending Machine,Historical,2010,Undefined,"http://themuseumofthefuture.com/2010/05/27/the-national-vending-machine-building-a-community-of-objects/
http://themuseumofthefuture.com/2011/03/04/next-steps-for-the-national-vending-machine-and-how-you-can-help/",,"The National Vending Machine (Nationale Automatiek in Dutch) is a participatory project that aims to build a community of objects. rs can buy a variety of common objects (ranging from lightbulbs to tulips) and discover their historical background. Before buying an object, they must create a profile. On paying, they receive an RFID card with credit to buy one of more objects. They can then see a film about the object they have bought, and are encouraged to add their own personal stories to it. They can also suggest new objects for the vending machine. The pilot of the National Vending Machine is in the Amsterdam Historical Museum, but after a few months the machine will start travelling around the country. Every time with other objects and improved interaction with the visitors.",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - in dedicated areas,During the vist - enhancing visitor experience,Text|Audio|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",The project seems to use a familiar device/experience (that of the vending machine) to encourage participation with artefacts that may be found in a museum. It combines mechanical technology (the machine) with more cutting-edge technology (RFID tagging and the associated website),The pilot study found that - visitors are more likely to use the machine when they come as a group - people participate without using (e.g. watching others or discussing the objects) - parents use their children as an excuse to participate - participation encourages more participation ,Undefined,,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),1,1,,"A plural representation, mindful to multiple (and dissenting) voices of individuals","3) Trans-Cultural Practice - facilitates, allows and encourages multiple readings and parallel interpretations of cultural dynamics",Not applicable,"Both, with respect to different parts of the museum/exhibition/project",Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Yes,2
1336841110713.72,,Sat May 12 2012 18:45:10 GMT+0200 (CEST),,National Postal Museum,United States of America,Washington DC,Museum,Postal History,"National, History and Art Museums|Postal History",2006,http://www.postalmuseum.si.edu/,CIID,CIID,,,Arago,Nation contexts,2006,Undefined,"http://www.postalmuseum.si.edu/USPostageStamps/index.html
http://www.artdaily.org/index.asp?int_sec=11&int_new=36794
",,"Arago is the National Postal Museum\'s website, which is describes as \'your resource to the study of philately and postal operations as seen through the collections of the National Postal Museum.\' It is named after Francis Arago (19th-century French scientist and friend of James Smithson) and \'upholds his philosophy that knowledge can be shared through the technology of the day). The website features virtual exhibits and a \'My Collection\' section, in which users can curate their own stamp collection using stamps from the museum\'s online collection. They can record notes and email favourites to friends.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",Off Site - virtual visits,Before the Visit - preparation prior to the visit|After the Visit - to support or deepen understandings following the visit,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",Provides a virtual tool to users to link their own personal collection to the Museum\'s.,"The website can be used by visitors to simply create an online record of their own stamp collection, but in doing so they will be benefitting from the expertise of the Museum.","The website can be used by personal collectors, but also by the Museum as part of their education offer.",,Interaction with Contents,2,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),5,1,,This aspect of the analysis is not significant for the present case,8) None of the above,,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,3
1336841543585.99,,Sat May 12 2012 18:52:23 GMT+0200 (CEST),,Sander Veenhof and Mark Skwarek & MoMA,United States of America,New York,Museum|Virtual,Art,"National, History and Art Museums|Contemporary Art|Science and Technology",2010,http://www.sndrv.nl/moma/,CIID,CIID,,,We AR in MoMA,Contemporary Art,2010,Sander Veenhof and Mark Skwarek,"http://www.sndrv.nl/moma/
http://www.markskwarek.com/We_AR_in_MoMA.html
http://vimeo.com/15721262",,"Sander Veenhof and Mark Skwarek invited artists to submit their work to be part of an unofficial augmented reality exhibition at MoMA. On October 9 2010, the physical space inside MoMA hosted a virtual exhibition, based on Augmented Reality technology. The show was not visible to rall visitors, only those using an application called the “Layar Augmented Reality browser” on their iPhone or Android smartphones, who could see numerous additional works on each of the floors.",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - near objects and exhibits,During the vist - enhancing visitor experience,Image|3D Models|Augmented Reality,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",An example of artists using technology to unofficially curate a show within an official museum space.,Users who submitted art were able to see their work on the walls of MoMA. Viewers with the LAYAR app experienced the gallery in a new and unique way.,"\'With this exhibition, the organisers of the event aim to address a contemporary issue, caused by the rapid rise of Augmented Reality usage. What is the impact of AR on our public and private spaces? Is the distinction between the two fading, or are we approaching a situation with an even increasing fragmentation of realities to be perceived individually?\' MoMA were deliberately not involved by the artists, as a statement that their involvement was no longer required in the age of AR. However, the event did bring potentially new audiences into MoMA.",,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),3,2,,"A plural representation, mindful to multiple (and dissenting) voices of individuals","3) Trans-Cultural Practice - facilitates, allows and encourages multiple readings and parallel interpretations of cultural dynamics",Not applicable,Not applicable,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Yes,1
1336842009886.31,,Sat May 12 2012 19:00:09 GMT+0200 (CEST),,Beyond Text,United Kingdom,Various,Museum,Art|Archeology|Social History|Ethnography|Natural Science,"National, History and Art Museums",2008-2011,http://www.beyondtext.ac.uk/,CIID,CIID,,,Reanimating Cultural Heritage,Nation contexts,2008-2011,Dr Paul Basu,"http://projects.beyondtext.ac.uk/reanimatingculturalheritage/
http://www.beyondtext.ac.uk/CultureSierraLeoneevents.shtml
",,"Reanimating cultural heritage: digital repatriation, knowledge networks and civil society strengthening in post-conflict Sierra Leone Multi-disciplinary project concerned with innovating \'digital curatorship\' of Sierra Leonean collections across the global museumscape. It considers how objects that have become isolated from oral and performative contexts that originally animated them can be reanimated in digital space alongside associated images, video clips, sounds, texts and other media, and thereby given new life. A digital heritage resource will be created that uses social networking technologies to reconnect objects with disparate communities and foster reciprocal knowledge exchange across boundaries.","Infrastructure - (operations, archives) - ICT used for institutional, non-visitor facing applications such as databases and management systems",Off Site - virtual visits|Off Site - not related to museum premises,,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Target group - Source communities

The project uses familiar social networking technology to digitally \'repatriate\' objects from Sierra Leone that are now in museums across the world. \'The problem is that those institutions, such as Sierra Leone\'s National Museum, which might lead such cultural renaissance, have themselves suffered from chronic neglect and have few resources and little expertise. At the same time there is a wealth of Sierra Leonean material culture and associated scholarship dispersed in the world\'s museums. This project is concerned with exploring how these \'diasporas\' of objects and knowledges can again become meaningful resources for Sierra Leoneans who currently have no access to them.\'","\'Whereas the practice of \'digital repatriation\' has become increasingly popular with museums, the reception of such initiatives by source communities has not been critically assessed. Thus, a crucial part of the project is to employ innovative participatory methods to pilot and evaluate the digital resource in Sierra Leone.\'","\'As well as its impact in Sierra Leone, the research will inform museum policy-making more widely, exemplify how museums can play a role in strengthening international relations, and provide a platform for future research and capacity building initiatives. The process and findings of the research will be publicized widely through a series of innovative dissemination methods, including a project blog and multi-sited exhibition. \'",,Individual interactions are networked in aggregate,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),4,4,,A unitary representation (monolithic),8) None of the above,People from the same cultures as those represented,People from the same cultures as those represented,,Yes,Not Applicable,2
1336844980015.18,,Sat May 12 2012 19:49:40 GMT+0200 (CEST),,Brooklyn Museum,United States of America,New York,Museum,Art|Archeology|Social History|Ethnography,"Permanent collections range from ancient Egyptian masterpieces to contemporary art, and represent a wide range of cultures",2008,http://www.brooklynmuseum.org/,CIID,CIID,,,Tag! You\'re It!,and represent a wide range of cultures,2008,Shelley Bernstein,"http://www.brooklynmuseum.org/opencollection/tag_game/start.php
http://www.museumsandtheweb.com/nominee/brooklyn_museum_collection_posse_and_tag_youre_it
http://snarkblog.wordpress.com/2009/03/01/tag-your-it-and-other-reasons-the-brooklyn-art-museum-is-totally-rad/",,"Users register to join the Brooklyn Museum Posse and are then able to work with their online collection. Social networking functions involve adding \'favourites\' to their profiles, but they are also encouraged to \'tag\' artefacts as part of a game. In doing so they aid the website\'s search function and help the Museum and other users. ",,Off Site - virtual visits,Before the Visit - preparation prior to the visit|After the Visit - to support or deepen understandings following the visit,Text|Image|Video,,,"Brooklyn Museum is renowned for its innovative use of social networking in a museum setting. This project not only helps in the developmental of a loyal online (and visting) audience, but involves the Museum crowdsourcing to improve the metadate they hold on their collections.",A fun tagging game for website users.,Brooklyn Museum gets help in tagging their online collection and establishing better relevance for online users.,,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),5,5,,,,Not applicable,Not applicable,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Yes,2
1336845706575.46,,Sat May 12 2012 20:01:46 GMT+0200 (CEST),,Chicago Children\'s Museum,United States of America,Chicago,Museum,Art|Archeology|Social History|Ethnography|Natural Science|Children\\,Play & Learning,Undefined,http://www.chicagochildrensmuseum.org/,CIID,CIID,,,Skyline,Building & Learning,Undefined,Undefined,"http://www.chicagochildrensmuseum.org/index.php/experience/skyline
http://www.nsf.gov/news/now_showing/museums/skyline.jsp
http://blog.diynetwork.com/tool-tips/2011/09/08/chicago-childrens-museum-skyline-exhibit/",,"Skyline consists of a set of Story Stations where visitors (often parent/carer + children) construct a building together. A camera takes automatic photos throughout the process. After finishing the structure, visitors can select images for a digital book of their work and narrate it. They take a \'Building Permit\' card home and enter their unique code on the website to download their story. 

Focus of technology - Learning","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - in dedicated areas,During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit,Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Skyline differs from other RFID cards through which visitors can access stored information at home, in that what they take away with them is a record of their experience/work rather than just the elements of the exhibition they were interested in.","According to CCM, almost 30% of visitors follow through (accessing the website at home). Skyline encourages adult-child interaction. ","Following the success of Skyline, the Museum is looking at additional opportunities to use this documentation and reflection strategy in the museum. ",,Individuals engage with each other socially,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),1,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,3
1336846118877.87,,Sat May 12 2012 20:08:38 GMT+0200 (CEST),,Kelvingrove Museum,United Kingdom,Glasgow,Museum,Art,"National, History and Art Museums",2007,http://www.glasgowlife.org.uk/museums/our-museums/kelvingrove/Pages/home.aspx,CIID,CIID,,,The Centre of New Englightenment (TCoNE),Learning,2007,Undefined,"http://www.glasgowlife.org.uk/museums/our-museums/kelvingrove/whats-on/young-people/TCoNE/Pages/default.aspx
http://www.integrated-circles.com/case-studies/centre-of-new-enlightenment/
http://www.northernlight.nl/portfolio-item/the-centre-of-new-enlightenment/",,"As part of the restoration of Kelvingrove Museum in 2006, Glasgow Museums developed The Centre for New Englightenment (TCoNE), an immersice, interactive learning experience for schools and families. The experience begins in the sci-fi-style Central Technical Area, where participants are briefed and issued with bespoke specialist equipment, including a state-of-the-art PDA equipped with infrared identification and radio-frequency ID. They then take part in a digital \'treasure hunt\' exploring the museum guided by the PDA and using it to play educational games, answer questions and document their journey. It uses \'state-of-the-art equipment and dramatic presentations to explore the museum and its collections and help young people discover their potential.\' 

Focus of technology - Learning

","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - in dedicated areas,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","TCoNE is an immersive technologically-based project that was fully integrated into the restoration of Kelvingrove. It is interesting in that it has a strong physical presence in the museum as well as a large virtual element. Rather than just providing information about the collections, TCoNE enables participants to learn about themselves and their own abilities and potential.","The project aims to use the unique museum environment (particularly its collections, staff and spaces) to help young people develop life skills, that are applicable to different circumstances. Teenagers use the collections to discover their own strengths and improve their self-confidence. ","\'The Centre for New Enlightenment (TCoNE), was created to complement the aims of the restoration project to improve the emotional intellectual, aesthetic and physical access to the collections\' at Kelvingrove Museum. ",,Interaction with Contents,5,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),3,3,,This aspect of the analysis is not significant for the present case,8) None of the above,,Not applicable,This aspect of the analysis is not significant for the present case,Yes,Not Applicable,2
1336846950156.91,,Sat May 12 2012 20:22:30 GMT+0200 (CEST),,The Library of Congress,United States of America,Washington DC,Library,Library,Literature,2008,http://www.loc.gov/index.html,CIID,CIID,,,Library of Congress Experience,Literature: fiction & Non-Fiction,2008, Second Story Interactive Studios,"http://www.loc.gov/experience/
http://www.history.com/topics/library-of-congress",,"The Library of Congress Experience encompasses both on-site and online exhibitions and technologies, both of which allow \'interaction with rare cultural treasures in ways that inspire and engage\'. After visiting the Library, the visitor experience continues online at the web site myLOC.gov, which contains exhibition content and can be personalized to the visitors\' interests. Visitors receive a \""Passport to Knowledge\"", containing a unique barcode, on arrival at the Library. This allows them to personalise their visit while exploring the collections and build their own collection of items of interest at myLOC interactive kiosks located throughout the building. Back at home they can access the saved information and continue to explore the collection online. The Passport to Knowledge also contains games and educational content for teachers. ",,On Site - near objects and exhibits|On Site - in dedicated areas|Off Site - virtual visits,During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit,Text|Audio|Image|Video,,,The Library of Congress Experience combines interactive kiosks throughout the Library with a website through the myLoc \'Passport to Knowledge\'.,"For those unable to visit in person, key features of the Library of Congress Experience are available entirely online. The same unique interactive stations available in the exhibition galleries are presented online at myLOC.gov. - As you move through the library, you can save different items to your online collection. “A lot of the kiosks we developed are very deep in content,” says producer Melissa Paugh. “A normal visitor experience wouldn’t allow you to stay and explore it for the length of time that you might want. So the passport saves experiences that visitors can explore later online.” -http://www.howdesign.com/article/2009interactivedesignawardwinners_bestofshow/#ixzz1KZgjhQaY ","Creative Director Brad Johnson: “This isn’t just a fleeting campaign for something. It’s going to be there for a long time, and it’s going to help change the way people think about a lot of things that are important to our cultural heritage.” -http://www.howdesign.com/article/2009interactivedesignawardwinners_bestofshow/#ixzz1KZgIVh68 ",,Interaction with Contents,2,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),3,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,No,4
1336848703392.52,,Sat May 12 2012 20:51:43 GMT+0200 (CEST),,The University of Leicester ,United Kingdom,Leicester,Museum|University Museum Studies Department,Art|Archeology|Dinosaur Gallery & Space,"National, History and Art Museums|Science and Technology|Dinosaur Gallery & Space",2006,http://www2.le.ac.uk/,CIID,CIID,,,LIVE!Labels,Interaction,2006,"Ross Parry, and Mayra Ortiz-Williams, University of Leicester; and Andrew Sawyer, Simulacra  ","http://www.museumsandtheweb.com/mw2007/papers/parry/parry.html
http://www.xor.co.uk/ll.php",,"A seven-month partnership between the University of Leicester and Simulacra with three UK museums (New Walk Museum and Art Gallery, Dinosaur Gallery, and National Space Centre) resulted in the production and evaluation of a digital, wireless, editable and dynamic labeling system (with web-based authoring tool) for on-site museum exhibits called “LIVE!Labels.”","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Text,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","A number of museum technologies such as iPod tours involve replacing the traditional method of museum interpretation - labels. This project uses this familiar form, but alters it, making it both easier for curators to edit, and opening up the possibility of visitors adding their input. This technology could revolutionise museum display.",Users benefit from up-to-date knowledge and interpretation. Some applications allow users to edit the content themselves.,"The project allows curators to edit the content of labels, and therefore takes advantage of their experise and ongoing learning. The labels could also be used to provide innovative labels that could become an attraction in their own right - e.g. those edited by users, edited to a theme of the day, to keep up with current affairs etc. ",,Passive Content Consumption,4,Immersive (focused on making visitors experience something),4,2,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,2
1336849313021.27,,Sat May 12 2012 21:01:53 GMT+0200 (CEST),,Indianapolis Museum of Art,United States of America,Indianapolis,Museum,Art,"National, History and Art Museums",2010,http://www.imamuseum.org/,CIID,CIID,,,Dashboard,An ongoing effort to measure various aspects of the Museum\\,2010,Undefined,"http://dashboard.imamuseum.org/
http://www.imamuseum.org/blog/2009/11/24/transparency-and-museums-part-4-transparency-in-practice/
http://www.flickr.com/photos/caseorganic/2899936013/",,"The IMA Dashboard is a website showing various aspects of the Museum\'s performance, for example, visitor numbers, energy consumption and endowment value. This information is quantified, shared with, and monitored by members of the public, Museum Studies students and colleagues in the museums sector. Visitors to the website are encouraged to comment on the Museum\'s progress. ","Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",Off Site - virtual visits,Before the Visit - preparation prior to the visit|After the Visit - to support or deepen understandings following the visit,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Target group - Museum community


The majority of museum websites share information about the collection with the kind of information found on Dashboard relatively hidden in corporate reports. The impact of this organisational transparency would be interesting to monitor.","Users can access information about the museum for a variety of purposes. For example, Museum Studies students could find data for reports, patrons can measure the impact of their support and others can satisfy their curiosity.",The institution could benefit from positive PR for organisational transparency. Providing this information to the public focuses Museum staff on the targets they are working towards. The website also allows for feedback that could be used in evaluation.,,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively),5,4,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Yes,Not Applicable,2
1336849701111.44,,Sat May 12 2012 21:08:21 GMT+0200 (CEST),,San Jose Museum of Art,United States of America,San Jose,Museum,Art,Contemporary Art,2007,http://www.sjmusart.org/,CIID,CIID,,,Digital Dacha Murals,Digital Art & Interactive,2007,Undefined,http://www.youtube.com/watch?v=Wri72KA_lK8,,"San Jose Museum Museum of Art featured three interactive projected mural installations between 2007 and 2008. The first mural, \'Affinity\', involved using computer vision and optical flow to track the position of passing visitors. Within a moving digital mural of dots, certain dots represented these visitors and moved in-sync with them. Not all visitors worked out the relationship between themselves and the artwork. The second piece, \'Blueprint\', was related to the work of artists Il Lee who creates abstract and expressive pieces with ballpoint Bic pens. This piece used visitor-generated drawings (produced with web tablet and stylus) as the \""pixel\"" of the video, then used these to create representations of their movement. In real-time this video is redrawn in Bic blue on white and projected into the same space that it was captured in as a \""magic mirror\"". The third piece, \'Wishing Wall\', asks visitors \'What do you wish for?\' They are invited to answer this question by leaving a message on an antique phone. Visual representations of the messages are created dynamically in real time and this visualization is projected on a large wall facing the wishing audience. The messages can be heard by picking up another phone under the projection. ",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - in dedicated areas,During the vist - enhancing visitor experience,Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","San Jose Museum of Art commissioned digital artists to create a piece that related to the Museum\'s current exhibition. By placing these interactive murals in a central hallway they engaged visitors in a creative, as well as passive, act in the museum.","In the first piece, not all visitors recognised the relationship between their movements and those of the dots, but experimented with it to find out how it worked. ",The institution used these murals as feature pieces at exhibition opening nights. One commission turned into three based on their success.,,Interaction with Contents,5,Immersive (focused on making visitors experience something),2,1,,"A plural representation, mindful to multiple (and dissenting) voices of individuals",1) Multi-Cultural Storytelling - representing different cultures alongside but separate to one another,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Yes,2
1336850554914.31,,Sat May 12 2012 21:22:34 GMT+0200 (CEST),,You Are Not Here,United States of America,New York,Platform for urban tourism,Cities,"National, History and Art Museums|Cities",2006,http://www.youarenothere.org/,CIID,CIID,,,You Are Not Here,Cities,2006,"Mushon Zer-Aviv, Dan Phiffer, Kati London, Laila El-Haddad, Thomas Duc","http://www.youarenothere.org/
http://www.t-r-a-c-e-s.net/component/content/article/8-migratingresistance/207-you-are-not-here
http://www.softborders.art.br/festival/trab-mushon.php",,"\'You Are Not Here (.org) is a platform for urban tourism mash-ups. It invites participants to become meta-tourists on simultaneous excursions through multiple cities. Passers-by stumble across the curious You Are Not Here signs in the street. The YANH street-signs provide the telephone number for the Tourist Hotline, a portal for audio-guided tours of one place on the streets of another. Through investigation of these points and with or without the aid of a downloadable map, local pedestrians are transformed into tourists of foreign places. Current walking tours include Baghdad through the streets of New York City and Gaza City through the streets of Tel-Aviv.\'",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,Off Site - not related to museum premises,After the Visit - to support or deepen understandings following the visit,Audio|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The project encourages intercultural understanding between conflicted communities. One of the creators speaks of wanting to \""to bridge over the distance that is not geographically large but is very much so from an emotional point of view.\""","The creators hope that the project will: - enable uses of the tour in Tel-Aviv to \'enter the consciousness of the average Gazan\' - leave \'virtual visitors ... with images of Palestinians eating, playing and socialising, making it harder for them to consider the people of Gaza as a faceless entity.\' - show Gaza as more than a tragedy ","The online version of \'You Are Not Here\' provides a durable communication platform for the project, which was originally on show as an exhibition. ",,Passive Content Consumption,2,Reflective (focused on engaging visitors cognitively),5,5,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,People from different cultures as those represented,"Both, with respect to different parts of the museum/exhibition/project",Yes,Yes,1
