ID,FIELD 04 - Exhibition Archives,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type,Field of Activity,Year the Exhibition was prepared,Year the Exhibition was held,Links,Principal Partner,Interested Partner,Links - for partners only,"FIELD 04 - Description of the exhibition archive of your institution
",Does your institution preserve documentation related to past exhibitions?,Documentation period,Reason for no documentation,Type of preserved documents,"What is the department or area, in your institution, in charge of gathering and preserving this archive?","Please, indicate the name and e-mail address of the person in charge of your exhibition archive:",What is the name by which you refer to this group of documents?," Please, describe in a few lines the contents, aims and status of your exhibition archive: ","How many people from your staff work in the preservation of your exhibition archive? Please, if this is not a full time task, indicate the percentage of hours that the persons in charge devote to this archive, in relation to their full time dedication",What period of time does your exhibition archive encompass?,What are the main parameters that define the structure you are giving to your exhibition archive:,"Have you developed a classification chart that describes the structure of your exhibition archive? If so, is it available for our consultation?","Have you developed any of these, in relation to your exhibition archive?","If so, are they available for our consultation?",What norm or standard set of rules do you use for the description of your exhibition archive? I.e. RAD – Rules for Archival Description,"Please, indicate the approximate number of linear meters of shelves that your exhibition archive comprises:","Please, indicate what database you use for the description of records belonging to your exhibition archive, i.e. FileMaker Pro.","Please, indicate the current number of records in this database","Always in relation to the exhibition archive of your institution, please indicate the approximate number of records, and / or the approximate percentage in relation to the total number of records, that are available online:","As well as the approximate number of records, and / or the approximate percentage in relation to the total number of records, that have been digitized:","Please, indicate by order of importance which of these processes you would like to develop first, if you would have enough resources: ","And finally, please leave any comment you may deem relevant in relation to your exhibition archive, which may help us understand better the scope and status of your exhibition archive, as well as wishes, aims etc. that are outside of the frame of our questions below. "
1336130207896.22,,Fri May 04 2012 13:16:47 GMT+0200 (Hora de verano romance),,Centre d\'art la Panera,Spain,Lleida,,Art,2004,2004,,MACBA,MACBA,,,YES,2004,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,2004 - 2012,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,,,,,,,,,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1336145036841.68,,Fri May 04 2012 09:23:56 GMT-0600 (CST),,TEOR/éTica,Costa Rica,San José,Archive|Cultural Institution|Museum,Art,1999,,,MACBA,MACBA,,,YES,1999,,"Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Both the archive and study center,,Documentation,,,1990s to present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Finding aid|Inventory,,,Unknown,"FileMaker Pro., Excel, Word",Unknown,20%,40%,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1336376153682.89,,Mon May 7 09:35:53 UTC+0200 2012,,Stedelijk Museum Amsterdam,Netherlands,Amsterdam,Museum,Art,,,,MACBA,MACBA,,,YES,1930-now,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|Other (please, specify):",Library,,Museum archive,,,1895-the present,Other:,,Finding aid|Inventory|On line catalogue or database|Index,,,100,adlib / zylab / excel,"500.000 documents in Zylab, 3000 exhibition records in Adlib",,,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1336505999588.65,,Tue May 08 2012 15:39:59 GMT-0400 (Eastern Daylight Time),,Cleveland Museum of Art,United States of America,"Cleveland, Ohio",Museum,Art,1913,,,MACBA,MACBA,,,YES,1916,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,1913 to present,"Source or producer (dept, etc.)",,Finding aid|Inventory|On line catalogue or database,,,,Microsoft Access,5000,,records are digitized on demand,Dissemination online of contents of the exhibition archive,
1336512913908.39,,Tue May 08 2012 18:35:13 GMT-0300 (Hora est. de Sudamérica E.),,Casa 13,Argentina,Córdoba,Cultural Institution,Art,1993,,,MACBA,MACBA,,,YES,1993-2009,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.",Archive,,archive ,,,1993 to 2009,,,Finding aid|Inventory|Index,,,,,,,,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1336646832860.62,,Thu May 10 2012 12:47:12 GMT+0200 (CET),,Fundació Antoni Tàpies,Spain,Barcelona,Archive,Art,1984 Foundation 2009 Archive,,,MACBA,MACBA,,,YES,1990,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,1990 to the present,"Source or producer (dept, etc.)",,On line catalogue or database,,"NODAC, Norma de Descripció Arxivística de Catalunya (Standard  Description Archives of Catalonia)",55,Aurodoc (free software),47 case-files,0,5 m,"Dissemination online of contents of the exhibition archive|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1336663404430.68,,Thu May 10 2012 12:23:24 GMT-0300 (BRT),,Ateliê Aberto ,Brazil,Campinas,"Cultural Institution|Cultural space (residencies, exhibitions, music and audiovisual live performances, lectures, public library, gastronomy) Artist collective, Cultural services such as curatorial projects, fundraising and production of cultural projects.",Art|Contemporary culture,1997,,,MACBA,MACBA,,,YES,1997,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Administrative documents, such as invoices, insurance certificates, contracts, etc.",There is not a specific departament for archive. The archive are handled by all staff (4 people).,,"There is no such name or specific group. We use the term \""record and documentation\"" to define the activity and always take good care to collect and maintain the archives of all events.",,,From 1997 to the present.,,,,,,,,,,,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1337087906387.58,,Tue May 15 2012 15:18:26 GMT+0200 (CEST),,Madre Museum,Italy,Naples,Museum,Art,2005,,,MACBA,MACBA,,,YES,Since 2007,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",exhibition department,,Exhibition records,,,from2007 till present days.,,,On line catalogue or database,,none,2 meters,our own,,no records available on line,,Archival description of records reaching the smallest units,
1337095533316.42,,Tue May 15 2012 11:25:33 GMT-0400 (Eastern Daylight Time),,National Museum of Women in the Arts,United States of America,"Washington, DC",Archive|Cultural Institution|Exhibition|Museum,Art,,,,MACBA,MACBA,,,YES,1987,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Institutional archive,,,From the opening of the museum to the present,"Source or producer (dept, etc.)",,,,,30ft. ,,,,,Dissemination online of contents of the exhibition archive,
1337197527089.36,,Wed May 16 2012 22:45:27 GMT+0300 (FLE Daylight Time),,Latvian Centre for Contemporary Art,Latvia,Riga,Cultural Institution,Art,1994,,,MACBA,MACBA,,,YES,1994,,"Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition",Archive,,Institutional archive,,,From 1970ies to the present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,,,,,,"around 30 000 units (diffrent forms - images, texts, publications, press clips etc.",LCCA archive is not available online,around 25% from the archive (mainly images and publications) have been digitalized,"Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
